lat;lon;validdate;t_2m:F;wind_speed_10m:kn
19.718831;-155.047554;2024-11-26T08:15:00Z;71.2;3.6
19.718831;-155.047554;2024-11-27T08:15:00Z;71.1;5.3
19.743906;-156.042296;2024-11-26T08:15:00Z;73.9;3.0
19.743906;-156.042296;2024-11-27T08:15:00Z;72.5;6.1
21.321157;-157.918442;2024-11-26T08:15:00Z;73.3;4.2
21.321157;-157.918442;2024-11-27T08:15:00Z;74.1;5.0
20.895698;-156.434048;2024-11-26T08:15:00Z;71.5;2.6
20.895698;-156.434048;2024-11-27T08:15:00Z;72.9;7.1
21.972066;-159.336715;2024-11-26T08:15:00Z;71.7;7.2
21.972066;-159.336715;2024-11-27T08:15:00Z;72.4;6.7
